"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newgas_price_increase_0005-002"
"06/23/2021 11:22:52:668 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","gas-price-increase-scenario","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"21","0.005","239","[37 49 37]","[15 15 15]","[0.18 0.25 0.28]","[2.8433333333333333 2.8733333333333335 2.8466666666666667]","[2.263333333333333 2.2983333333333333 2.295]","[67.46133483355415 70.66717634353658 67.7873809629546]","[129.35207267399224 132.13027323334586 131.1576720634038]","[0.37333333333333335 0.5466666666666666 0.3416666666666667]","[0.42 0.27 0.4066666666666667]","[0.195 0.15666666666666668 0.22833333333333333]","[0.011666666666666667 0.02666666666666667 0.023333333333333334]","[77.79466601919316 74.36656846446242 77.32417193863982]","[0.5247414816435544 0.5449238055951156 0.6664515354559395]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 5 2]","[397 402 374]","[community-board community-board community-board]","[0.9583333333333334 0.94 0.93]","[0.96 0.94 0.9316666666666666]"
"22","0.005","239","[49 37 37]","[15 15 15]","[0.25 0.33 0.29]","[2.885 2.8633333333333333 2.82]","[2.308333333333333 2.3233333333333333 2.2716666666666665]","[69.93564613746436 68.99074974212657 67.10926916842389]","[132.6346667031882 132.53485216710635 129.51174505784874]","[0.525 0.37666666666666665 0.4683333333333333]","[0.3016666666666667 0.41333333333333333 0.3283333333333333]","[0.115 0.17833333333333334 0.155]","[0.058333333333333334 0.03166666666666667 0.04833333333333333]","[75.05774719294733 76.0106287511717 78.1339578936149]","[0.5389110934637285 0.2802447821348425 0.655539780175019]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 2]","[416 430 386]","[community-board community-board community-board]","[0.9416666666666667 0.9133333333333333 0.93]","[0.9466666666666667 0.925 0.9333333333333333]"
"23","0.005","239","[49 37 37]","[15 14 15]","[0.28 0.51 0.33]","[2.9283333333333332 2.8433333333333333 2.7916666666666665]","[2.3466666666666667 2.3566666666666665 2.2466666666666666]","[71.5843105938881 93.25016917638209 67.71758645733605]","[134.92213487843338 132.681411190765 128.5001326993002]","[0.4033333333333333 0.4633333333333333 0.4533333333333333]","[0.3616666666666667 0.29833333333333334 0.315]","[0.20833333333333334 0.21166666666666667 0.16833333333333333]","[0.02666666666666667 0.02666666666666667 0.06333333333333334]","[73.22608528250396 51.739484595023235 77.60656959338665]","[0.5963986532108185 1.0063123262715123 0.5231745342957282]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[2 2 1]","[378 314 377]","[community-board municipality community-board]","[0.93 0.82 0.9133333333333333]","[0.9333333333333333 0.83 0.9133333333333333]"
"24","0.005","239","[49 37 37]","[15 15 14]","[0.35 0.25 0.5]","[2.845 2.8316666666666666 2.8133333333333335]","[2.315 2.28 2.325]","[72.46864399138826 67.07286696548607 90.88632407714955]","[133.23235870559668 131.10700643772282 130.61829817860118]","[0.5566666666666666 0.445 0.4633333333333333]","[0.175 0.355 0.295]","[0.22333333333333333 0.19166666666666668 0.205]","[0.045 0.008333333333333333 0.03666666666666667]","[72.47693397883071 78.0427391861627 54.268378735228936]","[0.4266361379226995 0.29890232470961997 1.070189480940424]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[0 3 0]","[371 427 318]","[community-board community-board municipality]","[0.8916666666666667 0.9383333333333334 0.82]","[0.9066666666666666 0.9433333333333334 0.83]"
"25","0.005","239","[37 49 37]","[14 15 14]","[0.51 0.37 0.43]","[2.9 2.8266666666666667 2.8383333333333334]","[2.405 2.305 2.3316666666666666]","[91.62053763247107 72.40602632176957 89.90222876530021]","[132.98418933535507 133.17289168522873 130.39590106035152]","[0.365 0.45 0.43]","[0.3416666666666667 0.3016666666666667 0.33166666666666667]","[0.25 0.21 0.20833333333333334]","[0.043333333333333335 0.03833333333333333 0.03]","[53.34489388736724 72.5443090100788 55.270265816538334]","[1.626356444759147 0.3940323906523918 1.0191747050348035]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[0 1 4]","[292 371 326]","[municipality community-board municipality]","[0.8133333333333334 0.8983333333333333 0.8566666666666667]","[0.8233333333333334 0.9066666666666666 0.865]"
"26","0.005","239","[37 37 49]","[15 15 15]","[0.3 0.24 0.3]","[2.8566666666666665 2.8866666666666667 2.9033333333333333]","[2.308333333333333 2.3066666666666666 2.335]","[67.12970748057596 68.8577364429311 71.77939722358353]","[131.53712000723525 130.92419751119908 134.05581885198808]","[0.4483333333333333 0.425 0.445]","[0.31833333333333336 0.31666666666666665 0.32666666666666666]","[0.21666666666666667 0.23333333333333334 0.20166666666666666]","[0.016666666666666666 0.025 0.02666666666666667]","[77.95148958551195 76.27249442283969 73.10030393492404]","[0.4444462897817882 0.5314505291887623 0.3868206698474435]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 1 1]","[397 384 395]","[community-board community-board community-board]","[0.9166666666666666 0.9383333333333334 0.92]","[0.93 0.9483333333333334 0.9283333333333333]"
"27","0.005","239","[37 37 49]","[14 15 15]","[0.47 0.32 0.36]","[2.9283333333333332 2.905 2.8666666666666667]","[2.408333333333333 2.3266666666666667 2.34]","[98.18286022440219 69.83451531464617 73.3675009110455]","[134.33465073735314 131.9233786091366 133.89835755590113]","[0.3466666666666667 0.44333333333333336 0.4166666666666667]","[0.465 0.2966666666666667 0.355]","[0.18166666666666667 0.22333333333333333 0.205]","[0.006666666666666667 0.03666666666666667 0.023333333333333334]","[46.67453438327627 75.21578106328963 71.52479715114914]","[1.4025201399862737 0.44229643191171203 0.6775685208618197]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[4 3 1]","[322 375 376]","[municipality community-board community-board]","[0.8516666666666667 0.9133333333333333 0.8983333333333333]","[0.8516666666666667 0.9183333333333333 0.905]"
"28","0.005","239","[37 37 49]","[14 15 15]","[0.58 0.18 0.27]","[2.848333333333333 2.828333333333333 2.84]","[2.4 2.2683333333333335 2.2783333333333333]","[95.62918963365912 64.32130003278431 70.62465465846961]","[134.0599262712519 129.71324283511768 131.62551512053506]","[0.415 0.365 0.6333333333333333]","[0.4033333333333333 0.4116666666666667 0.195]","[0.16666666666666666 0.19833333333333333 0.12]","[0.015 0.025 0.051666666666666666]","[49.25018293130744 80.90580720707301 74.44947079855422]","[0.6626637726197491 0.8916879501837708 0.4161593595367261]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[2 1 3]","[297 411 419]","[municipality community-board community-board]","[0.7683333333333333 0.9583333333333334 0.9416666666666667]","[0.7766666666666666 0.9616666666666667 0.9433333333333334]"
"29","0.005","239","[37 49 37]","[15 15 15]","[0.35 0.29 0.25]","[2.763333333333333 2.9 2.8183333333333334]","[2.2383333333333333 2.325 2.255]","[67.2901912477215 69.50489515592669 67.95284152767422]","[128.25778140032358 132.846663167837 129.40508378889385]","[0.36666666666666664 0.3283333333333333 0.415]","[0.33166666666666667 0.3516666666666667 0.39]","[0.275 0.315 0.165]","[0.02666666666666667 0.005 0.03]","[78.05335290691929 75.47153845731295 77.29891843588089]","[0.7047680872053245 1.0665619644552342 0.4547853742069189]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[3 0 1]","[372 352 405]","[community-board community-board community-board]","[0.9 0.915 0.9366666666666666]","[0.9083333333333333 0.9283333333333333 0.94]"
"30","0.005","239","[49 37 37]","[15 15 14]","[0.36 0.26 0.49]","[2.9116666666666666 2.8516666666666666 2.805]","[2.3516666666666666 2.283333333333333 2.3233333333333333]","[73.38595810917133 66.38973110105528 90.71395554463169]","[134.63457949267413 130.31661750257118 130.4591665629423]","[0.36833333333333335 0.395 0.485]","[0.35333333333333333 0.36333333333333334 0.21]","[0.26166666666666666 0.20166666666666666 0.2733333333333333]","[0.016666666666666666 0.04 0.03166666666666667]","[71.4474421980815 78.7891061654057 54.45347779699968]","[0.6196482662400982 0.48442290117188924 1.1249766813982283]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 0 2]","[340 403 309]","[community-board community-board municipality]","[0.9016666666666666 0.935 0.8233333333333334]","[0.9016666666666666 0.9366666666666666 0.84]"
"31","0.01","239","[37 37 37]","[14 14 15]","[0.44 0.48 0.33]","[2.8916666666666666 2.82 2.815]","[2.361666666666667 2.348333333333333 2.2616666666666667]","[107.64678470114609 106.32369268775422 79.32810069863665]","[133.43694265046628 132.80863729875702 129.68632740442627]","[0.6816666666666666 0.4116666666666667 0.385]","[0.21 0.395 0.38666666666666666]","[0.09333333333333334 0.18666666666666668 0.20166666666666666]","[0.015 0.006666666666666667 0.02666666666666667]","[81.74075988681666 83.11411632834528 110.35949310900928]","[0.5523333243108957 0.5775850567731318 0.2926858225186839]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[3 1 1]","[421 386 450]","[municipality municipality community-board]","[0.85 0.8383333333333334 0.9116666666666666]","[0.8783333333333333 0.8416666666666667 0.915]"
"32","0.01","239","[37 37 37]","[14 15 14]","[0.55 0.28 0.58]","[2.88 2.845 2.8366666666666664]","[2.415 2.2666666666666666 2.385]","[109.25176951025388 80.04031526397213 111.31275578484569]","[135.58577392764613 130.30603066604277 133.9417392036049]","[0.39166666666666666 0.49666666666666665 0.4266666666666667]","[0.385 0.28833333333333333 0.34]","[0.17166666666666666 0.16333333333333333 0.2]","[0.051666666666666666 0.051666666666666666 0.03333333333333333]","[79.96386857553443 109.59770228274459 78.03440507886583]","[0.4743540707719206 0.39744057846214936 0.8070686860684066]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[4 0 0]","[344 441 363]","[municipality community-board municipality]","[0.785 0.93 0.775]","[0.795 0.9333333333333333 0.78]"
