"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newco2_price_increase_001-002-003"
"06/23/2021 12:14:44:867 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"21","0.001","239","[37 37 37]","[15 15 14]","[0.44 0.3 0.5]","[2.8233333333333333 2.8733333333333335 2.785]","[2.33 2.3216666666666668 2.3266666666666667]","[84.74190058154797 78.57117047907536 105.19997755882176]","[131.75785264940714 132.17159468841533 132.2303730267675]","[0.38333333333333336 0.54 0.38666666666666666]","[0.21333333333333335 0.25 0.4066666666666667]","[0.2783333333333333 0.18666666666666668 0.19333333333333333]","[0.125 0.023333333333333334 0.013333333333333334]","[103.00163787316617 109.13926861251792 82.50575926570365]","[0.5648239651375272 0.2771363004720875 0.3494862383676734]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 1 1]","[407 453 387]","[community-board community-board municipality]","[0.86 0.9233333333333333 0.8333333333333334]","[0.8683333333333333 0.9316666666666666 0.835]"
"22","0.001","239","[49 37 37]","[15 15 15]","[0.31 0.3 0.26]","[2.855 2.78 2.7416666666666667]","[2.3 2.276666666666667 2.225]","[83.10405984977383 79.30158870092866 75.56848667844385]","[132.26828587804255 130.21759302416248 128.0305344329031]","[0.49166666666666664 0.41333333333333333 0.3616666666666667]","[0.2916666666666667 0.2633333333333333 0.37833333333333335]","[0.17333333333333334 0.265 0.24666666666666667]","[0.043333333333333335 0.058333333333333334 0.013333333333333334]","[104.59864394664933 108.56517052380497 112.47323723359054]","[0.38427822862629935 0.7632015179446598 0.5541460586740621]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 2 4]","[445 416 437]","[community-board community-board community-board]","[0.91 0.92 0.9416666666666667]","[0.92 0.9233333333333333 0.9433333333333334]"
"23","0.001","239","[37 37 37]","[14 15 15]","[0.42 0.25 0.26]","[2.8583333333333334 2.7883333333333336 2.7783333333333333]","[2.3316666666666666 2.2316666666666665 2.2416666666666667]","[103.15420539735041 77.2372931538022 76.3562957824238]","[132.64560514100987 127.99335284526724 128.5212164174055]","[0.5066666666666667 0.4033333333333333 0.395]","[0.2633333333333333 0.3616666666666667 0.365]","[0.18833333333333332 0.21833333333333332 0.215]","[0.041666666666666664 0.016666666666666666 0.025]","[84.51831285803551 110.80740528524312 111.64617357085044]","[0.34558866447947023 0.468302594331931 0.35345777816904045]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 1 1]","[382 426 438]","[municipality community-board community-board]","[0.855 0.9383333333333334 0.935]","[0.8633333333333333 0.9383333333333334 0.9383333333333334]"
"24","0.001","239","[37 37 37]","[15 14 15]","[0.34 0.52 0.48]","[2.8066666666666666 2.835 2.973333333333333]","[2.2666666666666666 2.3433333333333333 2.4633333333333334]","[80.24257618675458 104.64377848276361 89.34613336632951]","[129.6452457414022 131.78117364267285 138.20721099257955]","[0.5316666666666666 0.4116666666666667 0.405]","[0.20666666666666667 0.3283333333333333 0.18333333333333332]","[0.20333333333333334 0.21666666666666667 0.26666666666666666]","[0.058333333333333334 0.043333333333333335 0.145]","[107.66997082059984 83.09789429248936 97.88145642093072]","[0.6662627305001755 0.5970845690813235 0.3593337865535663]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[2 0 3]","[438 355 378]","[community-board municipality community-board]","[0.8966666666666666 0.7933333333333333 0.8466666666666667]","[0.9083333333333333 0.815 0.8533333333333334]"
"26","0.001","239","[37 37 37]","[15 15 15]","[0.32 0.32 0.29]","[2.79 2.8666666666666667 2.84]","[2.2616666666666667 2.32 2.2883333333333336]","[78.91198565189865 77.8141670691013 77.44840347923775]","[128.8226781432512 131.91135795258825 130.75799167888545]","[0.38 0.38666666666666666 0.42333333333333334]","[0.35833333333333334 0.31166666666666665 0.36333333333333334]","[0.22333333333333333 0.26166666666666666 0.18666666666666668]","[0.03833333333333333 0.04 0.02666666666666667]","[109.0663667633079 109.91709096135823 110.37512385311817]","[0.6732522025223775 0.3599733841573697 0.38858628459631167]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 1 1]","[428 416 449]","[community-board community-board community-board]","[0.91 0.9066666666666666 0.9283333333333333]","[0.9133333333333333 0.9216666666666666 0.935]"
"25","0.001","239","[37 37 37]","[15 14 15]","[0.28 0.47 0.34]","[2.8116666666666665 2.9233333333333333 2.865]","[2.285 2.385 2.3033333333333332]","[78.4731052517031 105.98384536979253 80.8209905562852]","[130.88761430859745 133.5544509615762 130.80130068753024]","[0.6 0.49833333333333335 0.475]","[0.21833333333333332 0.31333333333333335 0.2833333333333333]","[0.165 0.16333333333333333 0.19666666666666666]","[0.016666666666666666 0.025 0.045]","[109.34005227027586 81.6159652199481 106.99907205537907]","[0.5181440842742245 0.8122395989329727 0.7169259325007313]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[3 2 2]","[443 406 421]","[community-board municipality community-board]","[0.9283333333333333 0.8433333333333334 0.9066666666666666]","[0.9366666666666666 0.8483333333333334 0.9083333333333333]"
"27","0.001","239","[49 37 37]","[15 15 15]","[0.41 0.37 0.35]","[2.908333333333333 2.841666666666667 2.785]","[2.385 2.31 2.2583333333333333]","[87.26804813492602 82.01522129147777 79.56143301145316]","[135.83455398974937 131.38557962812433 128.92631511183583]","[0.46166666666666667 0.47 0.5266666666666666]","[0.2733333333333333 0.23333333333333334 0.22666666666666666]","[0.215 0.21833333333333332 0.19333333333333333]","[0.05 0.07833333333333334 0.05333333333333334]","[100.14935421256077 105.75809900493904 108.40862844626652]","[0.30248769467373204 0.6668742866329189 0.44276989064852346]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 1 2]","[408 435 443]","[community-board community-board community-board]","[0.8766666666666667 0.8966666666666666 0.9016666666666666]","[0.885 0.9016666666666666 0.9083333333333333]"
"28","0.001","239","[49 37 37]","[15 15 15]","[0.32 0.35 0.24]","[2.8583333333333334 2.8183333333333334 2.7533333333333334]","[2.308333333333333 2.276666666666667 2.2266666666666666]","[83.44262147680176 79.6856922607863 74.71919583571012]","[132.7950168951077 130.19195285366752 127.99022692524072]","[0.48833333333333334 0.385 0.33666666666666667]","[0.265 0.3333333333333333 0.44666666666666666]","[0.20166666666666666 0.245 0.20166666666666666]","[0.045 0.03666666666666667 0.015]","[104.21794383825619 108.18311817758702 113.32575267693714]","[0.31873331647025704 0.5728363686479319 0.3187245829160891]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 1 2]","[434 432 456]","[community-board community-board community-board]","[0.9083333333333333 0.9083333333333333 0.9433333333333334]","[0.92 0.9116666666666666 0.9483333333333334]"
"29","0.001","239","[37 37 37]","[15 15 15]","[0.31 0.4 0.3]","[2.8733333333333335 2.855 2.8033333333333332]","[2.3216666666666668 2.3266666666666667 2.2733333333333334]","[78.36732467777165 83.6032463458492 78.26151080800335]","[132.4535175260663 132.39887567777075 130.4646474562536]","[0.36 0.39666666666666667 0.46166666666666667]","[0.37166666666666665 0.24 0.3416666666666667]","[0.24833333333333332 0.295 0.17]","[0.02 0.06833333333333333 0.02666666666666667]","[109.32056058680955 104.08901026659595 109.58548406216302]","[0.44284238326717085 0.39375632536211963 0.2958464586198873]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 3 0]","[423 389 445]","[community-board community-board community-board]","[0.93 0.8816666666666667 0.925]","[0.9316666666666666 0.8816666666666667 0.9266666666666666]"
"30","0.001","239","[37 37 37]","[14 15 14]","[0.47 0.32 0.52]","[2.84 2.85 2.8433333333333333]","[2.3333333333333335 2.285 2.3516666666666666]","[105.20814982080255 78.66404106450065 105.39572655578257]","[132.65248464468127 131.08203871110715 132.41445889041657]","[0.5333333333333333 0.41 0.38333333333333336]","[0.17333333333333334 0.3983333333333333 0.39666666666666667]","[0.22 0.17833333333333334 0.20166666666666666]","[0.07333333333333333 0.013333333333333334 0.018333333333333333]","[82.46381807428965 109.13356250527742 82.29528339965081]","[0.2631792571649754 0.2696743479753147 0.5808950912481132]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[1 2 1]","[392 448 382]","[municipality community-board municipality]","[0.845 0.9233333333333333 0.8]","[0.8533333333333334 0.9316666666666666 0.8166666666666667]"
