"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newinfo_exchange_5_7_9"
"06/23/2021 10:40:56:416 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","information-exchange-period","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"21","5","239","[25 37 37]","[12 13 13]","[0.47 0.37 0.37]","[2.83 2.85 2.828333333333333]","[2.316666666666667 2.3333333333333335 2.3116666666666665]","[103.84743071633251 83.03798377316099 82.9579833527338]","[131.20733128868295 133.056688535878 131.82824592826236]","[0.4483333333333333 0.46166666666666667 0.35]","[0.3383333333333333 0.2683333333333333 0.32666666666666666]","[0.20333333333333334 0.18666666666666668 0.25166666666666665]","[0.01 0.08333333333333333 0.07166666666666667]","[85.71848278057284 106.37998114396893 106.55825697300526]","[0.24359751905452676 0.7026710555072405 0.673806616889909]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[4 0 1]","[387 434 407]","[municipality community-board community-board]","[0.8516666666666667 0.8983333333333333 0.895]","[0.8616666666666667 0.905 0.8983333333333333]"
"23","5","239","[37 37 37]","[13 13 13]","[0.28 0.23 0.27]","[2.835 2.895 2.828333333333333]","[2.283333333333333 2.3116666666666665 2.2733333333333334]","[77.33122268324102 77.37558822318066 77.90369608768138]","[130.17986210075279 131.64115954947928 130.01417023922951]","[0.465 0.33666666666666667 0.505]","[0.33166666666666667 0.43666666666666665 0.25666666666666665]","[0.18666666666666668 0.21833333333333332 0.19166666666666668]","[0.016666666666666666 0.008333333333333333 0.04666666666666667]","[112.31688834869868 112.15561901286105 111.75767029318027]","[0.5697644767041533 0.525149581204859 0.3531821296196284]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 5 3]","[425 425 448]","[community-board community-board community-board]","[0.925 0.9466666666666667 0.9366666666666666]","[0.9366666666666666 0.9516666666666667 0.9416666666666667]"
"22","5","239","[37 37 37]","[13 13 13]","[0.35 0.25 0.39]","[2.905 2.88 2.91]","[2.34 2.31 2.37]","[82.20698782250349 78.23138897532296 85.02258987441434]","[132.48417715104125 131.19629189369218 134.14791945709163]","[0.46166666666666667 0.585 0.3516666666666667]","[0.25833333333333336 0.23333333333333334 0.3333333333333333]","[0.23666666666666666 0.155 0.28]","[0.043333333333333335 0.02666666666666667 0.035]","[107.25677800541315 111.3354076731818 104.30807656901838]","[0.31208740212733815 0.7571046505492127 0.4204669637429232]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 2 2]","[415 446 415]","[community-board community-board community-board]","[0.9033333333333333 0.9416666666666667 0.8866666666666667]","[0.91 0.945 0.8966666666666666]"
"24","5","239","[25 37 37]","[12 13 13]","[0.41 0.36 0.29]","[2.8933333333333335 2.8533333333333335 3.0033333333333334]","[2.3583333333333334 2.3183333333333334 2.415]","[103.29578337257753 82.91788032540772 80.6191646681552]","[132.58113314523058 131.3072018047277 136.00096445277526]","[0.4866666666666667 0.36666666666666664 0.39]","[0.29333333333333333 0.3233333333333333 0.36333333333333334]","[0.185 0.25666666666666665 0.21166666666666667]","[0.035 0.05333333333333334 0.035]","[86.1602259758041 106.64004353021409 108.56325817562274]","[0.3166376968954811 0.5687751372096631 0.3990501588106209]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[1 0 2]","[417 438 410]","[municipality community-board community-board]","[0.885 0.9016666666666666 0.9333333333333333]","[0.8966666666666666 0.905 0.9333333333333333]"
"25","5","239","[37 25 37]","[13 12 13]","[0.31 0.55 0.36]","[2.8933333333333335 2.908333333333333 2.8666666666666667]","[2.3266666666666667 2.408333333333333 2.3266666666666667]","[80.22435464372829 108.79366096505943 81.82792780082639]","[131.97221518548704 134.1750517434434 131.7814041908117]","[0.31 0.38166666666666665 0.40166666666666667]","[0.39166666666666666 0.3566666666666667 0.3333333333333333]","[0.27 0.205 0.24833333333333332]","[0.028333333333333332 0.056666666666666664 0.016666666666666666]","[109.28036814143273 80.53483489546518 107.69205986390867]","[0.390022070211685 0.4833402516270946 0.28726540315797894]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[1 3 2]","[439 371 424]","[community-board municipality community-board]","[0.92 0.7966666666666666 0.9]","[0.9233333333333333 0.8083333333333333 0.9083333333333333]"
"27","5","239","[37 37 25]","[13 13 12]","[0.43 0.22 0.51]","[2.87 2.905 2.8633333333333333]","[2.3433333333333333 2.316666666666667 2.335]","[86.18056886054197 77.8521000286859 103.86713787491713]","[132.51049798900337 131.33329535726662 131.04504242939294]","[0.3233333333333333 0.33666666666666667 0.3383333333333333]","[0.29 0.42333333333333334 0.38333333333333336]","[0.31166666666666665 0.23166666666666666 0.255]","[0.075 0.008333333333333333 0.023333333333333334]","[103.28109130033779 111.70373634273278 85.71175873073147]","[0.4176140003957562 0.5101485590227143 0.32197509321934975]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 1 7]","[379 451 386]","[community-board community-board municipality]","[0.8633333333333333 0.9483333333333334 0.82]","[0.8716666666666667 0.95 0.8283333333333334]"
"26","5","239","[37 37 37]","[13 13 13]","[0.4 0.33 0.37]","[2.845 2.8666666666666667 2.8533333333333335]","[2.32 2.316666666666667 2.305]","[85.14776176582718 80.90928405704604 83.0375346310668]","[131.94938291656626 131.56205003523465 130.88975260513945]","[0.43833333333333335 0.335 0.335]","[0.2866666666666667 0.355 0.33666666666666667]","[0.21666666666666667 0.2866666666666667 0.2916666666666667]","[0.058333333333333334 0.023333333333333334 0.03666666666666667]","[104.35878760084753 108.62825194013523 106.55378516052218]","[0.4344705296631522 0.8384344477158552 0.4614011650285142]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 3 1]","[409 408 413]","[community-board community-board community-board]","[0.8916666666666667 0.9166666666666666 0.8883333333333333]","[0.8966666666666666 0.9183333333333333 0.8983333333333333]"
"28","5","239","[37 25 37]","[13 12 13]","[0.23 0.54 0.22]","[2.8383333333333334 2.861666666666667 2.78]","[2.276666666666667 2.3866666666666667 2.225]","[77.84580282286231 107.5101518189734 76.3466669552601]","[130.2761507414019 133.49493676718853 128.02017141793195]","[0.49666666666666665 0.38333333333333336 0.4683333333333333]","[0.29833333333333334 0.3466666666666667 0.2966666666666667]","[0.195 0.245 0.19833333333333333]","[0.01 0.025 0.03666666666666667]","[111.79460511782561 81.87275323965153 113.47421933130528]","[0.34732241668185226 0.31021226927434786 0.32683552820737016]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[4 2 2]","[440 357 453]","[community-board municipality community-board]","[0.945 0.7866666666666666 0.945]","[0.945 0.7966666666666666 0.9516666666666667]"
"29","5","239","[37 37 37]","[13 13 13]","[0.26 0.38 0.29]","[2.7983333333333333 2.8983333333333334 2.8266666666666667]","[2.25 2.3516666666666666 2.296666666666667]","[77.1007623231387 84.69892620281165 79.30715831396746]","[128.91104306502862 133.4437238505556 130.98254162981814]","[0.415 0.5816666666666667 0.4216666666666667]","[0.33166666666666667 0.19 0.35833333333333334]","[0.21666666666666667 0.16166666666666665 0.20333333333333334]","[0.03666666666666667 0.06666666666666667 0.016666666666666666]","[112.64885423165907 104.68807588914403 110.27673835564731]","[0.49998959355690176 0.3266484260026373 0.2660300687395991]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 1 0]","[433 431 436]","[community-board community-board community-board]","[0.9216666666666666 0.89 0.9216666666666666]","[0.9366666666666666 0.8933333333333333 0.9283333333333333]"
"31","5","239","[37 37 25]","[13 13 12]","[0.35 0.28 0.45]","[2.935 2.861666666666667 2.888333333333333]","[2.3383333333333334 2.2866666666666666 2.3533333333333335]","[82.50236178306037 79.13983598056939 104.44819170489707]","[132.88063334812355 130.64435962687566 132.12145023190735]","[0.39166666666666666 0.3983333333333333 0.555]","[0.31166666666666665 0.39 0.25666666666666665]","[0.24833333333333332 0.19 0.14833333333333334]","[0.04833333333333333 0.021666666666666667 0.04]","[106.9296875490898 110.47111524928077 85.04459227655036]","[0.3886507415540469 0.31600264327202754 0.42397033359513653]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[4 2 3]","[421 455 393]","[community-board community-board municipality]","[0.91 0.9233333333333333 0.85]","[0.9133333333333333 0.9366666666666666 0.8666666666666667]"
