"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newnu_of_links_2_3_4"
"06/23/2021 11:38:10:110 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-links","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"20","2","239","[37 37 37]","[15 14 14]","[0.28 0.48 0.5]","[2.895 2.805 2.8066666666666666]","[2.328333333333333 2.3266666666666667 2.3266666666666667]","[78.91415386802467 104.92594549580775 106.7657513116902]","[132.45952495836312 131.33185920842283 132.07351815062708]","[0.445 0.4066666666666667 0.39666666666666667]","[0.29833333333333334 0.35333333333333333 0.35833333333333334]","[0.21666666666666667 0.21666666666666667 0.21666666666666667]","[0.04 0.023333333333333334 0.028333333333333332]","[110.55158413530634 84.63000576751858 82.7308672362596]","[0.6090519852253008 0.719996266771302 0.2907148044009658]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[2 7 1]","[415 358 380]","[community-board municipality municipality]","[0.9333333333333333 0.825 0.8266666666666667]","[0.9333333333333333 0.8416666666666667 0.835]"
"22","2","239","[37 37 37]","[15 15 14]","[0.23 0.31 0.39]","[2.8233333333333333 2.775 2.88]","[2.2466666666666666 2.2383333333333333 2.3266666666666667]","[77.79681714967953 78.66130551411455 102.60248986043797]","[128.56506845135226 127.90204861795912 132.13498908444848]","[0.5183333333333333 0.47333333333333333 0.405]","[0.27666666666666667 0.245 0.24833333333333332]","[0.185 0.22 0.2866666666666667]","[0.02 0.06166666666666667 0.06]","[111.98047737421234 111.16903059644876 86.88921101280624]","[0.3023144705180345 0.6568328445092684 0.39528560849567507]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 2 2]","[445 422 369]","[community-board community-board municipality]","[0.945 0.915 0.8783333333333333]","[0.9483333333333334 0.9266666666666666 0.8883333333333333]"
"23","2","239","[37 37 37]","[15 15 14]","[0.31 0.31 0.52]","[2.82 2.84 2.8]","[2.25 2.276666666666667 2.3233333333333333]","[80.30608973676412 79.81094019173999 106.74347034822458]","[129.00550963664278 129.9743338376457 131.675918999771]","[0.445 0.37333333333333335 0.33166666666666667]","[0.285 0.37166666666666665 0.39]","[0.195 0.225 0.24666666666666667]","[0.075 0.03 0.03166666666666667]","[109.43596949230447 109.85361310124847 82.78495613179383]","[0.22811650600971184 0.46807680563803145 0.35694819845937353]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[1 1 1]","[410 440 358]","[community-board community-board municipality]","[0.92 0.925 0.8116666666666666]","[0.9216666666666666 0.9283333333333333 0.825]"
"24","2","239","[37 37 37]","[15 15 15]","[0.2 0.22 0.3]","[2.8233333333333333 2.8716666666666666 2.835]","[2.276666666666667 2.2916666666666665 2.308333333333333]","[75.22079905111076 76.94367245096066 79.63990132655597]","[130.22767471482146 130.91012693203004 131.34511422959758]","[0.43333333333333335 0.37166666666666665 0.43]","[0.3283333333333333 0.4116666666666667 0.32666666666666666]","[0.19833333333333333 0.20166666666666666 0.215]","[0.04 0.015 0.028333333333333332]","[114.42348697170362 112.64601739447703 109.91498953507646]","[0.49466646990457247 0.37508563233603875 0.6911452163940928]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 3 3]","[388 423 424]","[community-board community-board community-board]","[0.9566666666666667 0.945 0.9233333333333333]","[0.9566666666666667 0.9533333333333334 0.9333333333333333]"
"26","2","239","[37 37 37]","[15 15 14]","[0.19 0.3 0.45]","[2.745 2.868333333333333 2.8716666666666666]","[2.2 2.3133333333333335 2.348333333333333]","[75.00249832180856 80.13016024964601 111.76516105139261]","[126.8741425072429 131.07002174576735 133.71918569684692]","[0.545 0.33666666666666667 0.34833333333333333]","[0.24333333333333335 0.4066666666666667 0.33666666666666667]","[0.18166666666666667 0.24666666666666667 0.305]","[0.03 0.01 0.01]","[114.9100702776121 109.44673801069258 77.59980409285953]","[0.4514800810993173 0.6853269962842137 0.33451067514163935]","[0 0 0]","[0 0 1]","[1 1 0]","[0 0 0]","[2 2 0]","[445 415 366]","[community-board community-board municipality]","[0.96 0.9116666666666666 0.8683333333333333]","[0.9616666666666667 0.9233333333333333 0.8683333333333333]"
"25","2","239","[37 37 37]","[14 15 15]","[0.43 0.28 0.34]","[2.8266666666666667 2.805 2.805]","[2.31 2.265 2.27]","[103.54246243364952 77.66742304794873 81.21762025172711]","[131.20964173744431 129.58320461441562 129.76931294301136]","[0.3466666666666667 0.5166666666666667 0.4633333333333333]","[0.43166666666666664 0.21166666666666667 0.23]","[0.21166666666666667 0.21 0.265]","[0.01 0.06166666666666667 0.041666666666666664]","[86.02326622735491 112.0284205828981 108.463334712832]","[0.3255704887290884 0.38865059385408846 0.20546837479724445]","[0 0 0]","[1 0 0]","[0 1 1]","[0 0 0]","[3 1 0]","[387 386 424]","[municipality community-board community-board]","[0.86 0.9316666666666666 0.9016666666666666]","[0.8683333333333333 0.935 0.9133333333333333]"
"27","2","239","[37 37 37]","[15 14 15]","[0.22 0.45 0.28]","[2.8133333333333335 2.7883333333333336 2.7616666666666667]","[2.235 2.285 2.2216666666666667]","[76.88443221033654 103.28421818414112 78.34764007019041]","[128.101135367239 130.41889823783794 128.0688071585596]","[0.495 0.315 0.6333333333333333]","[0.30666666666666664 0.47333333333333333 0.17666666666666667]","[0.16833333333333333 0.20333333333333334 0.15666666666666668]","[0.03 0.008333333333333333 0.03333333333333333]","[112.92997696028425 86.34476995683194 111.46935535712487]","[0.9699890228010762 0.3986839547548728 0.4019185133193365]","[0 0 0]","[0 1 0]","[1 0 1]","[0 0 0]","[7 0 1]","[434 386 409]","[community-board municipality community-board]","[0.95 0.8433333333333334 0.9266666666666666]","[0.9533333333333334 0.855 0.9333333333333333]"
"30","2","239","[37 37 37]","[14 14 15]","[0.41 0.53 0.29]","[2.908333333333333 2.855 2.915]","[2.3516666666666666 2.365 2.3366666666666664]","[104.0336458854268 113.47170393015386 79.61086619843061]","[133.56540148728945 133.69241087296797 133.30731790509503]","[0.47 0.29833333333333334 0.5266666666666666]","[0.23333333333333334 0.38 0.23666666666666666]","[0.23333333333333334 0.295 0.17166666666666666]","[0.06333333333333334 0.02666666666666667 0.065]","[85.34362199558977 75.89540320000872 109.78704836916177]","[0.6491895947194355 0.5086514582753957 0.297116114808092]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[6 3 0]","[378 316 405]","[municipality municipality community-board]","[0.8766666666666667 0.8083333333333333 0.9233333333333333]","[0.8883333333333333 0.8083333333333333 0.93]"
"29","2","239","[37 37 37]","[14 14 15]","[0.43 0.45 0.26]","[2.9116666666666666 2.845 2.868333333333333]","[2.39 2.328333333333333 2.3066666666666666]","[105.86309953735235 104.46055806333148 78.43416550350722]","[134.01147164045705 131.90575303573024 131.94073666125797]","[0.4216666666666667 0.35333333333333333 0.5966666666666667]","[0.375 0.35833333333333334 0.20333333333333334]","[0.17833333333333334 0.27166666666666667 0.14166666666666666]","[0.025 0.016666666666666666 0.058333333333333334]","[83.47848273141102 85.04948169381018 111.07307556359218]","[0.34498819039718687 0.6890898013138225 0.21722022071879302]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[5 3 2]","[375 368 441]","[municipality municipality community-board]","[0.8483333333333334 0.8566666666666667 0.9333333333333333]","[0.8716666666666667 0.8616666666666667 0.9433333333333334]"
"28","2","239","[37 37 37]","[14 15 14]","[0.38 0.29 0.44]","[2.83 2.985 2.8033333333333332]","[2.2983333333333333 2.3866666666666667 2.3033333333333332]","[102.89583054953835 81.13705329795386 103.7161577446685]","[130.78121237588536 135.68665849959834 131.16162847250547]","[0.6283333333333333 0.5366666666666666 0.425]","[0.13666666666666666 0.25666666666666665 0.30333333333333334]","[0.15333333333333332 0.17833333333333334 0.23166666666666666]","[0.08166666666666667 0.028333333333333332 0.04]","[86.70417246039071 108.07051402207816 85.85341197753093]","[0.35941199884242897 0.549289061536641 0.4999413309190851]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[3 4 2]","[404 437 381]","[municipality community-board municipality]","[0.8866666666666667 0.9333333333333333 0.8566666666666667]","[0.9016666666666666 0.9366666666666666 0.86]"
"31","2","239","[37 37 37]","[15 15 15]","[0.19 0.33 0.37]","[2.8516666666666666 2.848333333333333 2.78]","[2.27 2.315 2.256666666666667]","[76.00670977764105 80.55216109449809 81.43077789209988]","[130.51811495496761 131.3571622582268 130.1464262654459]","[0.5016666666666667 0.33 0.42333333333333334]","[0.31666666666666665 0.38 0.3]","[0.15833333333333333 0.26166666666666666 0.22333333333333333]","[0.023333333333333334 0.028333333333333332 0.05333333333333334]","[113.6143410259616 109.00176592484398 108.22000800666447]","[0.27222600418204035 0.34473335112603665 0.4631761072892926]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[2 3 0]","[427 404 430]","[community-board community-board community-board]","[0.955 0.9066666666666666 0.8966666666666666]","[0.9583333333333334 0.9166666666666666 0.91]"
"32","2","239","[37 37 37]","[15 15 15]","[0.28 0.4 0.27]","[2.8833333333333333 2.89 2.7716666666666665]","[2.3216666666666668 2.33 2.24]","[78.1154099636202 83.81105153482851 77.28673442536841]","[132.03893528222798 131.7881243185138 128.34900793081752]","[0.5733333333333334 0.4033333333333333 0.34]","[0.24333333333333335 0.305 0.4216666666666667]","[0.15833333333333333 0.25833333333333336 0.20666666666666667]","[0.025 0.03333333333333333 0.03166666666666667]","[111.38397521380168 105.70839851969036 112.5078449401662]","[0.39964622560752805 0.47113329359880846 0.6408067146315823]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 8 3]","[427 417 418]","[community-board community-board community-board]","[0.9283333333333333 0.8816666666666667 0.9316666666666666]","[0.94 0.8933333333333333 0.94]"
"38","2","239","[37 37 37]","[14 14 14]","[0.46 0.5 0.42]","[2.8183333333333334 2.8383333333333334 2.8916666666666666]","[2.3116666666666665 2.365 2.3533333333333335]","[104.18659652402613 106.77075660387302 104.54333925096337]","[130.2635722366372 134.19545189396837 133.3750012845558]","[0.41333333333333333 0.31166666666666665 0.49166666666666664]","[0.315 0.38 0.25666666666666665]","[0.225 0.27 0.19833333333333333]","[0.04666666666666667 0.03833333333333333 0.05333333333333334]","[85.45481769704298 82.55610724460965 84.8491606462722]","[0.8830420251638051 0.4816390524321581 0.38508889718404743]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 0]","[4 0 0]","[375 356 361]","[municipality municipality municipality]","[0.85 0.8316666666666667 0.875]","[0.8566666666666667 0.84 0.8833333333333333]"
