"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-20.nlogo"
"newpercentage_per_svo_10_15_20"
"06/23/2021 10:58:07:551 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","percentage-loss-per-svo","[step]","community-formation-time-list","subsidy-application-time","energy-diversity","initial-insulation-score","final-insulation","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump","project-leaders","participation-while-forming","participation-at-the-end"
"21","10","239","[37 37 37]","[15 14 14]","[0.38 0.49 0.51]","[2.885 2.8383333333333334 2.87]","[2.355 2.3233333333333333 2.3566666666666665]","[83.07779768936008 104.39862358951049 108.07387589183028]","[133.29689324693354 130.8425029270516 133.65769989499987]","[0.4116666666666667 0.3283333333333333 0.4666666666666667]","[0.29833333333333334 0.39 0.36333333333333334]","[0.25333333333333335 0.265 0.16]","[0.03666666666666667 0.016666666666666666 0.01]","[106.32095085088517 85.19647617632538 81.29600811656977]","[0.47243363692860524 1.0156107306310223 0.5185704852979486]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[2 5 1]","[401 367 380]","[community-board municipality municipality]","[0.8833333333333333 0.835 0.8033333333333333]","[0.895 0.8416666666666667 0.82]"
"23","10","239","[37 37 37]","[15 15 15]","[0.17 0.34 0.36]","[2.79 2.88 2.921666666666667]","[2.2316666666666665 2.2933333333333334 2.3583333333333334]","[77.26411778948639 81.38436544276314 82.12468110128216]","[128.83037681796822 130.47135159597372 133.39215966712496]","[0.5366666666666666 0.26 0.335]","[0.275 0.415 0.25166666666666665]","[0.16666666666666666 0.295 0.325]","[0.021666666666666667 0.03 0.08833333333333333]","[112.49195206507616 108.24042642955898 107.26644612534812]","[0.3769179892191008 0.40878366313061454 0.7326121054665174]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[3 2 0]","[458 416 366]","[community-board community-board community-board]","[0.9633333333333334 0.905 0.8966666666666666]","[0.965 0.91 0.9]"
"24","10","239","[37 37 37]","[14 14 15]","[0.55 0.5 0.36]","[2.8533333333333335 2.87 2.87]","[2.3833333333333333 2.3716666666666666 2.3216666666666668]","[109.57051952106728 107.2014476946115 82.18355254485193]","[134.3442585985731 133.89996104994725 131.30461867465718]","[0.345 0.46166666666666667 0.4066666666666667]","[0.37 0.2783333333333333 0.37166666666666665]","[0.255 0.22833333333333333 0.185]","[0.03 0.03166666666666667 0.03666666666666667]","[79.74443979104687 82.1490554213928 107.37457796117545]","[0.2923561007322416 0.34770905381163664 0.548254372547625]","[0 0 0]","[1 1 0]","[0 0 1]","[0 0 0]","[3 1 1]","[357 401 448]","[municipality municipality community-board]","[0.7916666666666666 0.82 0.9016666666666666]","[0.8 0.8383333333333334 0.91]"
"25","10","239","[37 37 37]","[15 15 15]","[0.4 0.22 0.32]","[2.955 2.82 2.9566666666666666]","[2.4033333333333333 2.2666666666666666 2.3666666666666667]","[85.8170353654215 76.66651491760518 82.6841093111486]","[136.09813472889883 129.1608841059503 134.45552114912073]","[0.4166666666666667 0.3333333333333333 0.5233333333333333]","[0.31166666666666665 0.44 0.25166666666666665]","[0.235 0.195 0.17333333333333334]","[0.03666666666666667 0.03166666666666667 0.051666666666666666]","[103.35761385626654 113.0631143539189 106.62194899692173]","[0.38651734421205475 0.7618069828679223 0.23725094594372745]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[4 0 2]","[424 461 428]","[community-board community-board community-board]","[0.8883333333333333 0.9483333333333334 0.9]","[0.895 0.95 0.9116666666666666]"
"26","10","239","[37 37 37]","[14 15 14]","[0.55 0.32 0.53]","[2.925 2.8033333333333332 2.915]","[2.4133333333333336 2.26 2.44]","[110.73030819984876 82.92071448420884 111.2907647201066]","[135.99344485322257 129.89222998660563 137.1706903168]","[0.38666666666666666 0.56 0.4666666666666667]","[0.38 0.25833333333333336 0.33]","[0.20833333333333334 0.13833333333333334 0.17333333333333334]","[0.025 0.043333333333333335 0.03]","[78.4527162118934 106.75040711686277 77.79808005454929]","[0.587445775383756 0.23236626515012637 0.3756347186918257]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[2 1 3]","[356 433 387]","[municipality community-board municipality]","[0.795 0.9066666666666666 0.8]","[0.7983333333333333 0.91 0.8116666666666666]"
"27","10","239","[37 37 37]","[14 15 14]","[0.48 0.47 0.57]","[2.8466666666666667 2.905 2.88]","[2.3216666666666668 2.375 2.3983333333333334]","[105.88412536193036 88.60517842304394 110.04308717280404]","[130.56463410873903 134.12222847836608 134.29201159596028]","[0.485 0.345 0.33666666666666667]","[0.31166666666666665 0.29833333333333334 0.395]","[0.19666666666666666 0.32 0.235]","[0.006666666666666667 0.03666666666666667 0.03333333333333333]","[83.73320390937056 100.72754329868673 79.27605189951922]","[1.0968466365036307 0.4150716831610836 0.4015185645753479]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[4 0 2]","[393 398 364]","[municipality community-board municipality]","[0.8416666666666667 0.83 0.7833333333333333]","[0.8483333333333334 0.8516666666666667 0.785]"
"28","10","239","[37 37 37]","[14 15 14]","[0.54 0.32 0.47]","[2.8516666666666666 2.6983333333333333 2.8383333333333334]","[2.381666666666667 2.195 2.3633333333333333]","[108.47060831399072 79.1106636779222 104.84148363840323]","[134.31280364720106 126.81414221314915 132.9052020340827]","[0.38 0.43333333333333335 0.4866666666666667]","[0.3383333333333333 0.32 0.31333333333333335]","[0.25333333333333335 0.22 0.17333333333333334]","[0.028333333333333332 0.02666666666666667 0.02666666666666667]","[80.8468673942333 110.80670494502593 84.58860019887015]","[0.42011952281377757 0.33804548605889667 0.6135557893968762]","[0 0 0]","[1 0 1]","[0 1 0]","[0 0 0]","[1 1 0]","[369 441 386]","[municipality community-board municipality]","[0.8033333333333333 0.92 0.8366666666666667]","[0.8116666666666666 0.9216666666666666 0.8516666666666667]"
"29","10","239","[37 37 37]","[15 15 15]","[0.39 0.32 0.43]","[2.815 2.953333333333333 2.85]","[2.3033333333333332 2.365 2.33]","[83.4262110431394 81.27131771571563 86.89474453952474]","[131.15671039858424 133.44633747114563 131.92341826308245]","[0.3016666666666667 0.44166666666666665 0.35333333333333333]","[0.3983333333333333 0.325 0.2733333333333333]","[0.26666666666666666 0.23333333333333334 0.31]","[0.03333333333333333 0 0.06333333333333334]","[106.14375212497394 108.1154752865929 102.61388199942877]","[0.5244594284931494 0.3262796350634376 0.9347660910250141]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 4 3]","[430 419 390]","[community-board community-board community-board]","[0.8783333333333333 0.9183333333333333 0.855]","[0.8966666666666666 0.9216666666666666 0.8716666666666667]"
"30","10","239","[37 37 37]","[15 14 14]","[0.28 0.5 0.49]","[2.89 2.86 2.81]","[2.315 2.361666666666667 2.305]","[80.09112008994613 106.39987668674236 104.00978856571489]","[131.60215402491457 132.0079184311013 130.7137046073116]","[0.5266666666666666 0.4116666666666667 0.4]","[0.2633333333333333 0.33 0.35833333333333334]","[0.17166666666666666 0.205 0.21166666666666667]","[0.03833333333333333 0.05333333333333334 0.03]","[109.44320758806074 83.10198983876965 85.59561506570014]","[0.3009857218818709 1.0776906097699561 0.32546585901361874]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[3 0 1]","[440 384 386]","[community-board municipality municipality]","[0.9233333333333333 0.8233333333333334 0.8166666666666667]","[0.93 0.83 0.83]"
"31","10","239","[37 37 37]","[15 15 15]","[0.24 0.38 0.34]","[2.888333333333333 2.881666666666667 2.9133333333333336]","[2.32 2.33 2.3516666666666666]","[78.22286722656007 82.70495769059586 81.39186210681831]","[131.80597282530167 132.4956124278826 132.95369825578996]","[0.42333333333333334 0.4533333333333333 0.44]","[0.36333333333333334 0.29333333333333333 0.325]","[0.18166666666666667 0.205 0.19833333333333333]","[0.03166666666666667 0.04833333333333333 0.03666666666666667]","[111.29515494741592 106.75789331517365 108.03434203271857]","[0.6138282247591025 0.25068835444017085 0.8229857417151547]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[0 0 6]","[427 434 422]","[community-board community-board community-board]","[0.9466666666666667 0.8983333333333333 0.91]","[0.9466666666666667 0.9016666666666666 0.915]"
"32","10","239","[37 37 37]","[15 14 14]","[0.3 0.46 0.51]","[2.91 2.8783333333333334 2.84]","[2.341666666666667 2.368333333333333 2.34]","[80.13363827812961 106.56888175062599 106.25866179108482]","[133.3635659622396 133.964661775472 132.18880306892154]","[0.38166666666666665 0.39666666666666667 0.325]","[0.385 0.3466666666666667 0.435]","[0.20833333333333334 0.22 0.22833333333333333]","[0.025 0.03666666666666667 0.011666666666666667]","[109.25977644489129 82.77644530733636 83.2287339634013]","[0.3094074167085667 0.41554065736397805 0.6002552535934425]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[2 2 1]","[432 395 377]","[community-board municipality municipality]","[0.9316666666666666 0.8466666666666667 0.82]","[0.9316666666666666 0.8583333333333333 0.8233333333333334]"
"33","10","239","[37 37 37]","[15 14 14]","[0.35 0.4 0.52]","[2.91 2.8633333333333333 2.8466666666666667]","[2.3666666666666667 2.3233333333333333 2.3566666666666665]","[83.13931642885629 103.25722482246323 107.20214184534314]","[133.73044612689816 131.0532800088253 133.2661860800271]","[0.37333333333333335 0.5183333333333333 0.44166666666666665]","[0.38333333333333336 0.24666666666666667 0.275]","[0.19666666666666666 0.19166666666666668 0.25666666666666665]","[0.04666666666666667 0.043333333333333335 0.02666666666666667]","[106.22474788099177 86.32101277683078 82.19906326825485]","[0.43736261590998404 0.8621684324350223 0.3325292850563626]","[0 0 0]","[0 1 1]","[1 0 0]","[0 0 0]","[4 1 3]","[425 408 372]","[community-board municipality municipality]","[0.8933333333333333 0.8783333333333333 0.8083333333333333]","[0.9033333333333333 0.885 0.8216666666666667]"
